prob,class
0.991734035,buyer
0.976828792,buyer
0.976314791,buyer
0.96015054,buyer
0.935157379,buyer
0.933598864,buyer
0.92531568,buyer
0.924867152,buyer
0.908041867,buyer
0.901712034,non-buyer
0.901495776,buyer
0.894173771,buyer
0.889412818,buyer
0.889139687,non-buyer
0.873967055,buyer
0.873915142,buyer
0.870598862,buyer
0.857758318,non-buyer
0.822756144,buyer
0.815765045,buyer
0.811017605,buyer
0.804128219,buyer
0.803222117,buyer
0.792573325,buyer
0.792336245,non-buyer
0.777775926,buyer
0.771465367,buyer
0.770727792,buyer
0.738609766,buyer
0.733201669,buyer
0.690940039,buyer
0.68907019,buyer
0.687847505,non-buyer
0.675343236,buyer
0.670599217,buyer
0.66701779,buyer
0.659951825,buyer
0.635412809,buyer
0.628347475,buyer
0.624235362,non-buyer
0.621719498,buyer
0.614174729,buyer
0.60600444,buyer
0.60215943,non-buyer
0.579703281,non-buyer
0.577057346,buyer
0.576335231,non-buyer
0.570997142,buyer
0.560042018,buyer
0.54787125,non-buyer
0.519285564,buyer
0.513278107,buyer
0.502511687,buyer
0.498150578,buyer
0.496169556,buyer
0.478407393,non-buyer
0.477546792,non-buyer
0.463234186,non-buyer
0.452273536,buyer
0.449506145,non-buyer
0.434435163,non-buyer
0.432748413,non-buyer
0.428457769,non-buyer
0.407015918,buyer
0.402726599,buyer
0.402482425,non-buyer
0.401405048,buyer
0.376467318,non-buyer
0.362543238,non-buyer
0.355478513,non-buyer
0.348724703,non-buyer
0.338142622,non-buyer
0.335288192,non-buyer
0.330419538,non-buyer
0.31878806,non-buyer
0.314382998,non-buyer
0.311640602,non-buyer
0.307616849,buyer
0.235840003,non-buyer
0.233109903,buyer
0.222439077,non-buyer
0.209773571,non-buyer
0.195112991,buyer
0.187300638,buyer
0.182106176,non-buyer
0.170606997,non-buyer
0.155362486,non-buyer
0.149073317,buyer
0.142888268,non-buyer
0.138681941,non-buyer
0.130907905,non-buyer
0.127411765,non-buyer
0.126769786,non-buyer
0.111078644,non-buyer
0.104268965,non-buyer
0.072928658,non-buyer
0.071547854,non-buyer
0.047032797,non-buyer
0.046525887,non-buyer
0.0011276,non-buyer
